:END_ID(strain_id),:START_ID(pathogen_taxonomy_id),:TYPE
Guangdong/GDFS2020127-P0026/2020,2697049,HAS
Guangdong/GDSZ202004-P0004/2020,2697049,HAS
Guangdong/GDSZ202008-P0020/2020,2697049,HAS
Guangdong/GDSZ202009-P0032/2020,2697049,HAS
Guangdong/GDSZ202013-P0014/2020,2697049,HAS
Guangdong/GDSZ202015-P0019/2020,2697049,HAS
Guangdong/GZ-S6-P0050/2020,2697049,HAS
Guangdong/JM-S1-P0062/2020,2697049,HAS
Guangdong/MM-S1-P0048/2020,2697049,HAS
Guangdong/SZ-N128-P0057/2020,2697049,HAS
Guangdong/SZ-N59-P0049/2020,2697049,HAS
Guangdong/ZH-N22-P0059/2020,2697049,HAS
Guangdong/ZH-S33-P0058/2020,2697049,HAS
Guangdong/ZQ-S2-P0061/2020,2697049,HAS
Guangdong/ZS-S6-P0060/2020,2697049,HAS
Guangzhou/20SF206/2020,2697049,HAS
Guangzhou/GZMU0014/2020,2697049,HAS
Guangzhou/GZMU0016/2020,2697049,HAS
Guangzhou/GZMU0030/2020,2697049,HAS
Guangzhou/GZMU0031/2020,2697049,HAS
Guangzhou/GZMU0042/2020,2697049,HAS
Guangzhou/GZMU0044/2020,2697049,HAS
Guangzhou/GZMU0047/2020,2697049,HAS
Guangzhou/GZMU0048/2020,2697049,HAS
Hangzhou/HZ-1/2020,2697049,HAS
Hangzhou/HZCDC0001/2020,2697049,HAS
Hangzhou/ZJU-01/2020,2697049,HAS
Hangzhou/ZJU-02/2020,2697049,HAS
Hangzhou/ZJU-03/2020,2697049,HAS
Hangzhou/ZJU-04/2020,2697049,HAS
Hangzhou/ZJU-05/2020,2697049,HAS
Hangzhou/ZJU-06/2020,2697049,HAS
Hangzhou/ZJU-07/2020,2697049,HAS
Hefei/2/2020,2697049,HAS
Henan/IVDC-HeN-002/2020,2697049,HAS
HongKong/CUHK1/2020,2697049,HAS
HongKong/CUHK2/2020,2697049,HAS
HongKong/VB20024950/2020,2697049,HAS
HongKong/VB20026565/2020,2697049,HAS
HongKong/VM20001061/2020,2697049,HAS
HongKong/case42_VM20002493/2020,2697049,HAS
HongKong/case48_VM20002507/2020,2697049,HAS
HongKong/case49_VM20002508/2020,2697049,HAS
HongKong/case52_VM20002582/2020,2697049,HAS
HongKong/case78_VM20002849/2020,2697049,HAS
HongKong/case85_VM20002868/2020,2697049,HAS
HongKong/case90_VM20002907/2020,2697049,HAS
Hungary/mbl1/2020,2697049,HAS
India/1-27/2020,2697049,HAS
India/1-31/2020,2697049,HAS
Ireland/COR-20134/2020,2697049,HAS
Ireland/Dublin-19072/2020,2697049,HAS
Ireland/Limerick-19933/2020,2697049,HAS
Ireland/Limerick-19934/2020,2697049,HAS
Ireland/Limerick-19935/2020,2697049,HAS
Italy/CDG1/2020,2697049,HAS
Italy/INMI1-cs/2020,2697049,HAS
Italy/INMI1-isl/2020,2697049,HAS
Italy/SPL1/2020,2697049,HAS
Italy/UniSR1/2020,2697049,HAS
Japan/AI/I-004/2020,2697049,HAS
Japan/Hu_DP_Kng_19-020/2020,2697049,HAS
Japan/Hu_DP_Kng_19-027/2020,2697049,HAS
Japan/KY-V-029/2020,2697049,HAS
Japan/NA-20-05-1/2020,2697049,HAS
Japan/OS-20-07-1/2020,2697049,HAS
Japan/TK/20-31-3/2020,2697049,HAS
Japan/TKYE6182/2020,2697049,HAS
Japan/TY-WK-012/2020,2697049,HAS
Japan/TY-WK-501/2020,2697049,HAS
Japan/TY-WK-521/2020,2697049,HAS
Jiangsu/IVDC-JS-001/2020,2697049,HAS
Jiangsu/JS01/2020,2697049,HAS
Jiangsu/JS02/2020,2697049,HAS
Jiangsu/JS03/2020,2697049,HAS
Jiangxi/IVDC-JX-002/2020,2697049,HAS
Jingzhou/HBCDC-HB-01/2020,2697049,HAS
Luxembourg/Lux1/2020,2697049,HAS
Mexico/CDMX-InDRE_01/2020,2697049,HAS
Nepal/61/2020,2697049,HAS
Netherlands/Andel_1365066/2020,2697049,HAS
Netherlands/Berlicum_1363564/2020,2697049,HAS
Netherlands/Blaricum_1364780/2020,2697049,HAS
Netherlands/Coevorden_1363618/2020,2697049,HAS
Netherlands/Dalen_1363624/2020,2697049,HAS
